Name,Cumul.reads_dtBaseline_1_2018-09-05_ds10813553,Cumul.reads_dtBaseline_10_2018-09-14_ds10813559,Cumul.reads_dtBaseline_11_2018-09-15_ds10813571,Cumul.reads_dtBaseline_12_2018-09-16_ds10813570,Cumul.reads_dtBaseline_13_2018-09-17_ds10813556,Cumul.reads_dtBaseline_14_2018-09-18_ds10813558,Cumul.reads_dtBaseline_15_2018-09-19_ds10813575,Cumul.reads_dtBaseline_16_2018-09-20_ds10811746,Cumul.reads_dtBaseline_17_2018-09-21_ds10813554,Cumul.reads_dtBaseline_18_2018-09-22_ds10813555,Cumul.reads_dtBaseline_19_2018-09-23_ds10813563,Cumul.reads_dtBaseline_2_2018-09-06_ds10813564,Cumul.reads_dtBaseline_20_2018-09-24_ds10813569,Cumul.reads_dtBaseline_21_2018-09-25_ds10813551,Cumul.reads_dtBaseline_22_2018-09-26_ds10813572,Cumul.reads_dtBaseline_23_2018-09-27_ds10813557,Cumul.reads_dtBaseline_24_2018-09-28_ds10813561,Cumul.reads_dtBaseline_25_2018-09-29_ds10811749,Cumul.reads_dtBaseline_26_2018-09-30_ds10813560,Cumul.reads_dtBaseline_27_2018-10-01_ds10813567,Cumul.reads_dtBaseline_28_2018-10-02_ds10813574,Cumul.reads_dtBaseline_29_2018-10-03_ds10813578,Cumul.reads_dtBaseline_3_2018-09-07_ds10811748,Cumul.reads_dtBaseline_30_2018-10-04_ds10811747,Cumul.reads_dtBaseline_31_2018-10-05_ds10813562,Cumul.reads_dtBaseline_32_2018-10-06_ds10813566,Cumul.reads_dtBaseline_33_2018-10-07_ds10813573,Cumul.reads_dtBaseline_4_2018-09-08_ds10813565,Cumul.reads_dtBaseline_5_2018-09-09_ds10813552,Cumul.reads_dtBaseline_6_2018-09-10_ds10813576,Cumul.reads_dtBaseline_7_2018-09-11_ds10813577,Cumul.reads_dtBaseline_8_2018-09-12_ds10811750,Cumul.reads_dtBaseline_9_2018-09-13_ds10813568,Cumul.reads_dtKefir_ds10826596,Cumul.reads_dtNeg_DNAextr_1_ds10826595,Cumul.reads_dtNeg_DNAextr_2_ds10828555,Cumul.reads_dtNeg_DNAextr_3_ds10828557,Cumul.reads_dtNeg_DNAextr_4_ds10828558,Cumul.reads_dtNeg_DNAextr_5_ds10826597,Cumul.reads_dtNeg_DNAextr_6_ds10828559,Cumul.reads_dtOutsideFarm_1_2018-09-05_ds10826589,Cumul.reads_dtOutsideFarm_10_2018-10-01_ds10826591,Cumul.reads_dtOutsideFarm_11_2018-10-03_ds10826593,Cumul.reads_dtOutsideFarm_12_2018-10-06_ds10828553,Cumul.reads_dtOutsideFarm_13_2018-10-07_ds10828554,Cumul.reads_dtOutsideFarm_2_2018-09-10_ds10828551,Cumul.reads_dtOutsideFarm_3_2018-09-11_ds10826599,Cumul.reads_dtOutsideFarm_4_2018-09-12_ds10826598,Cumul.reads_dtOutsideFarm_5_2018-09-17_ds10828552,Cumul.reads_dtOutsideFarm_6_2018-09-20_ds10826592,Cumul.reads_dtOutsideFarm_7_2018-09-22_ds10826594,Cumul.reads_dtOutsideFarm_8_2018-09-24_ds10826590,Cumul.reads_dtOutsideFarm_9_2018-09-28_ds10826600,Cumul.reads_dtSequencingBlank_ds10828556,Cumul.reads_dtTxAntibiotic_1_2018-09-06_ds10798909,Cumul.reads_dtTxAntibiotic_10_2018-10-03_ds10798906,Cumul.reads_dtTxAntibiotic_11_2018-10-04_ds10798915,Cumul.reads_dtTxAntibiotic_12_2018-10-05_ds10798912,Cumul.reads_dtTxAntibiotic_2_2018-09-07_ds10798908,Cumul.reads_dtTxAntibiotic_3_2018-09-13_ds10798911,Cumul.reads_dtTxAntibiotic_4_2018-09-14_ds10798910,Cumul.reads_dtTxAntibiotic_5_2018-09-19_ds10798913,Cumul.reads_dtTxAntibiotic_6_2018-09-20_ds10798904,Cumul.reads_dtTxAntibiotic_7_2018-09-21_ds10798907,Cumul.reads_dtTxAntibiotic_8_2018-09-26_ds10798914,Cumul.reads_dtTxAntibiotic_9_2018-09-29_ds10798905
Achromobacter,2,3,1,3,2.03,3,2,3,3,3,2,3,3,2,2,2,3,2,1,3,2.78,2,2,2,1,2,3,2.47,2,2,2,2,2.87,1.96,1,1,1,3.58,2,2,2,2.46,2,4,3,3,3,3,2.09,2,2,2,2.32,3.04,5,4,2.52,2.94,3,3,4,6,2,2,3,3
Acidipropionibacterium,3,2.07,3,3,2,3,2,2,3.07,3,3,2,3,2,2.4,2,2,3,2,3,2,4.71,3,4.45,2,5,3,2,3,4,3,3.59,4,2.28,2.98,1,1,1,1,2,2,3,4,4,3.99,3,3,2,3,3,2.01,4,3.1,1,2.23,2.03,2,4,3,2.97,2,3,3,1,2,2
Acidovorax,3,3,3.3,3,2.05,3,2,3,3,3,3,2,3,2.78,3,2,2.46,3,2,3,3.04,4,3.11,4,2.16,3,3,2.89,3,3,3,3,2.88,1.11,1,1,2.01,2,2,1,2,2,3,2,2.55,3,2,3,3,3,3,2,3,1,2,2,2,4,3,2,3,3,3,2.06,2,2
Acinetobacter,7,9,9,8,8,9,9,8,8,9,9,9,9,8,8.38,9,9,9,8,8,9,9,9,9,9,9,9,7.96,8,8,8,7.98,8,5,6,9,8,9,9,9,6,9,8,9,6.94,9,8,8,7,9,8,9,7,9,9,9,9,9,8,7,8,8,9,7,8,9
Actinomyces,4,4.02,5,4.44,5,4.02,4,4.91,4,4,4,3.82,3.91,2,5,4,4,4,2,4,4.75,5,5,5.99,3,5,5,4,4,4,5,4.99,4,3.02,2.76,1,3.55,2,2,2,3,5,4.02,5,4,4,4.97,4,4.94,4,4,5,4.05,4.91,3,3,3,5,4,4,5,4,4,3,4,2
Actinoplanes,2,1,1,2,1,2,1,1,2.99,2.16,2.06,1,1,1,1,1,2,1,1,3,2,2,2,2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,2,2,1,2,1,2,2,1,3,1,2,2,2,2,2,1,1
Adlercreutzia,1,1,1,1,2.02,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
Aequorivita,2,1,1,1,1,2.39,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1.99,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Aerococcus,3,4,3,4,3.06,4.95,4,3,4,4,4,4,4,4,5,4,4,4,3,4,5,5,4,4.99,4,5,6,3.04,5,3.02,4,3,3.96,3.86,2.99,1,3,3,3.25,3.17,3,4,4,6,4,4,4,5,4,6,4,6,4,2.06,3,5,4,5,3,3,3,3,4,4,4,5
Aeromicrobium,1,2,2,2,1,2,1,2,2,1,1,1,1,2,2,1,2,1,1,2,1,2,1,2,1,2.01,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,2,1,1,2,1,2,2,2,2.34,1,1,2,1,2,1,1,1
Aeromonas,4,7,5,9,5,7,5,6,5,6,5,6,6,5,5.54,5,7,7,4,5,5,6,5,6,3,6,6,5,5,5,5,5.98,5,3,3.94,4.27,4.6,7,5,5,4,5,6,6,5,6,9,5,5,6,5,6,5,5.94,4,4,7,6,9,4,4.99,8,5,4,5,4
Aggregatibacter,2,1,3,2,3,2.41,1,3,2.4,2,2,2,2,1,2,2,3,2,1,3,5,2,1,3,2,3,2,3,2,2,2,3,2,2.02,1,1,1,1,1,2,2,1,2,2,2,1,2,2,3,1,2.96,2.24,3.04,1,2,2,3,2,2.99,1,1,1,3,2,2.86,3.01
