Dataset,Owner,Created,Category,Label,State,Workflow,Grouped,Display.TAG,Kraken.UNCLASSIFIED,
10793891,nshaimin,6/12/2020 14:17,KRAKEN,phix filtered 10793881_TxAntibiotic_6_2018-09-20,READY,Kraken,TRUE,TxAntibiotic_6_2018-09-20,57879320,
10793892,nshaimin,6/12/2020 14:18,KRAKEN,phix filtered 10793888_TxAntibiotic_8_2018-09-26,READY,Kraken,TRUE,TxAntibiotic_8_2018-09-26,56578725,
10793893,nshaimin,6/12/2020 14:22,KRAKEN,phix filtered 10793879_TxAntibiotic_5_2018-09-19,READY,Kraken,TRUE,TxAntibiotic_5_2018-09-19,65976721,
10793894,nshaimin,6/12/2020 14:13,KRAKEN,phix filtered 10793878_TxAntibiotic_12_2018-10-05,READY,Kraken,TRUE,TxAntibiotic_12_2018-10-05,51421555,
10793895,nshaimin,6/12/2020 14:12,KRAKEN,phix filtered 10793887_TxAntibiotic_9_2018-09-29,READY,Kraken,TRUE,TxAntibiotic_9_2018-09-29,52073048,
10793896,nshaimin,6/12/2020 14:23,KRAKEN,phix filtered 10793882_TxAntibiotic_2_2018-09-07,READY,Kraken,TRUE,TxAntibiotic_2_2018-09-07,68697961,
10793897,nshaimin,6/12/2020 13:55,KRAKEN,phix filtered 10793885_TxAntibiotic_11_2018-10-04,READY,Kraken,TRUE,TxAntibiotic_11_2018-10-04,15808729,
10793898,nshaimin,6/12/2020 14:07,KRAKEN,phix filtered 10793884_TxAntibiotic_10_2018-10-03,READY,Kraken,TRUE,TxAntibiotic_10_2018-10-03,44249663,
10793899,nshaimin,6/12/2020 14:23,KRAKEN,phix filtered 10793886_TxAntibiotic_1_2018-09-06,READY,Kraken,TRUE,TxAntibiotic_1_2018-09-06,58717993,
10793900,nshaimin,6/12/2020 14:32,KRAKEN,phix filtered 10793883_TxAntibiotic_4_2018-09-14,READY,Kraken,TRUE,TxAntibiotic_4_2018-09-14,51513083,
10796101,nshaimin,6/12/2020 14:42,KRAKEN,phix filtered 10793880_TxAntibiotic_3_2018-09-13,READY,Kraken,TRUE,TxAntibiotic_3_2018-09-13,64111296,
10796102,nshaimin,6/12/2020 14:32,KRAKEN,phix filtered 10793889_TxAntibiotic_7_2018-09-21,READY,Kraken,TRUE,TxAntibiotic_7_2018-09-21,42763541,
10804086,nshaimin,6/15/2020 20:47,KRAKEN,phix filtered Milk Baseline 10804055_Baseline_7_2018-09-11,READY,Kraken,TRUE,Baseline_7_2018-09-11,60456120,
10804087,nshaimin,6/15/2020 20:50,KRAKEN,phix filtered Milk Baseline 10804052_Baseline_3_2018-09-07,READY,Kraken,TRUE,Baseline_3_2018-09-07,68930806,
