ECcode,OutsideFarm-11,TxAntibiotic-9,Baseline-26,Baseline-25,OutsideFarm-1,Neg-DNAextr,Baseline-17,TxAntibiotic-1,OutsideFarm-13,Baseline-9,TxAntibiotic-10,OutsideFarm-9,Baseline-24,Baseline-14,Baseline-1,TxAntibiotic-4,Baseline-32,Baseline-4,TxAntibiotic-8,Baseline-30,Neg-DNAextr,Baseline-15,OutsideFarm-2,Neg-DNAextr,Baseline-6,Baseline-33,Baseline-29,Baseline-2,Neg-DNAextr,Baseline-8,Baseline-19,Baseline-28,Baseline-18,Baseline-31,OutsideFarm-4,SequencingBlank,TxAntibiotic-3,Neg-DNAextr,TxAntibiotic-5,Baseline-23,TxAntibiotic-6,Baseline-22,Baseline-27,TxAntibiotic-7,Baseline-12,Baseline-21,Neg-DNAextr,Baseline-20,OutsideFarm-5,Baseline-16,OutsideFarm-7,Kefir,OutsideFarm-6,Baseline-5,OutsideFarm-10,Baseline-13,Baseline-7,OutsideFarm-12,Baseline-3,TxAntibiotic-11,OutsideFarm-8,TxAntibiotic-12,TxAntibiotic-2,OutsideFarm-3,Baseline-10,Baseline-11
1.14.14.1,2364,813.76,529.87,1979.3,1941.4,52.747,2505.9,1237,4238,2101.1,2046,4753.9,2008.5,1548.4,1982.8,1261.4,2069.1,3837.5,880.74,1823,118.58,649.96,1536.5,59.259,1480.6,895.61,2195.5,1453.2,33.079,2663.8,970.22,3381.8,1043.5,1139.4,1646.1,34.154,1939.7,42.495,2010.5,943.64,1066.3,933.14,2940.1,1357.6,1960.8,2294.8,45.608,1691.1,1282.8,2662.2,1822.4,39715,1817.6,2298.9,1205.3,3459.9,1458.4,927.41,1604.4,647.1,1172.8,1333.3,2182,1679.7,1654.8,1618.8
1.14.14.17,49.033,9.2472,12.299,25.041,28.151,1.0342,43.383,44.887,37.112,38.619,233.94,45.951,62.926,22.908,48.005,19.807,60.519,47.054,12.434,44.896,0,16.586,21.965,1.0396,26.122,42.304,38.664,28.228,0,18.818,15.615,71.272,13.512,63.527,18.836,0,41.758,0,35.492,27.968,18.706,15.622,55.747,26.741,34.418,59.899,2.0731,19.821,27.095,30.324,41.253,778.91,59.507,43.888,25.089,48.04,26.154,31.017,40.79,8.2433,25.923,25.92,39.73,32.402,33.429,32.376
1.14.14.18,2491.3,905.2,675.4,2120.2,2113.4,64.123,2874.7,1498,5203,2420.5,2390.7,5967.4,2217.9,1672.3,2050.7,1384.4,2138,4662.6,1075.5,1818.8,204.16,653.07,1773.9,44.704,1729.3,990.54,2176.7,1695.8,39.281,3402.9,1086.8,4230.9,1063.3,1434.5,1792.6,34.154,2142.2,32.13,2231.8,960.22,1250.2,969.59,3314.9,1319.6,2180.9,2254.5,38.352,1773.5,1568.4,3099.3,1806.9,87142,1917.8,2478.6,1379.9,4367.5,1723,970.84,1764.4,672.86,1240.2,1369.6,2376.5,1878.3,1870,1856.9
1.14.14.47,591.52,247.62,196.78,555.09,510.89,10.342,964.76,403.98,3802,557.37,753.13,934.69,719.01,415.47,573.98,313.78,637.54,856.39,313.96,509.51,30.933,188.66,487.42,7.2774,490.04,292,750.28,377.42,9.3034,616.8,241.51,1189.9,302.46,504.12,411.26,4.1399,510.49,22.802,522.98,308.68,326.32,308.27,1139.7,467.97,538.17,706.4,14.512,503.88,383.49,611.7,546.6,15793,493.8,620.7,321.98,828.17,395.45,300.87,449.73,307.06,399.22,411.6,669.13,409.73,417.87,424.03
1.14.14.5,1712,706.9,1353.9,1362.7,1318.9,36.199,1569,1059.5,2030.9,1561.5,1158.4,4099.1,1479.3,1084,1395.3,965.33,1357.5,2875.5,817.54,1108.8,91.767,716.3,1172.5,30.149,1180.7,983.32,1314.6,1119.7,19.641,2234.1,874.45,2035.9,908.42,867.86,1333.2,13.455,1293.5,27.985,1448.9,1046.2,829.31,871.7,1645.6,810.46,1386.1,1275.4,35.243,1136.1,1205.7,2085,972.54,30038,1383.3,1600.9,1070.5,2867.8,1192.6,1050.4,1235.2,470.9,1053.5,741.3,1472.1,1244.9,1255.7,1220.9
1.11.1.6,14062,4973.4,3716.4,11592,11274,275.71,16384,7958.5,32552,12748,12716,32517,11780,8889,11647,7090.1,11903,25523,5887.5,10384,957.05,3671.9,9592,289.23,9507.2,5231.3,12056,9004.4,184.6,18477,5844.6,23091,6180.2,6589.8,10185,184.23,11143,271.55,11781,5853.5,6338.4,5511.3,18072,6389.4,11910,11999,266.54,9835.7,8595,17565,10166,3.67E+05,10653,13771,7358.1,23492,8734.7,5457.9,9929.2,4314,7267.6,7802,13296,10768,10297,9658.6
1.14.14.9,492.42,235.29,162.96,374.58,353.45,11.377,640.42,333,1345.3,448.82,522.27,475.18,726.23,315.51,467.53,280.42,342.24,496.68,205.16,316.36,40.213,158.6,336.8,12.476,356.3,235.25,389.77,340.82,10.337,319.9,236.31,754.04,241.14,569.69,329.64,17.595,369.56,7.2553,376.84,289,227.59,204.13,932.21,400.09,393.2,694.01,4.1462,309.84,279.28,364.93,459.97,13735,361.22,474.41,245.66,477.27,337.91,248.14,325.27,204.02,246.79,282.01,502.89,396.14,388.62,385.38
1.14.15.3,2602.9,1093.2,997.22,1861.4,2035.2,57.918,3314.7,1350.8,6529.7,2241,2966.3,4391.5,2485.1,1500.5,1969.3,1237.4,2045.1,3532.2,1125.3,1792.7,338.2,685.2,1488.4,49.902,1380.3,1292.9,2024.1,1508.6,31.011,2529.9,1047.3,4330,1134,2267.5,1583.3,38.294,2051.4,54.933,1866.4,1131.1,1180.6,1051.9,3627.7,1782.4,2054.7,2592.9,54.937,1540.8,1580.9,2641.3,2089.5,1.42E+05,1805,2201.4,1141.6,3603,1452.1,1319.3,1587.7,1015,1446.5,1557.3,2253.1,1620.1,1582.7,1646
1.14.16.1,646.82,215.77,183.46,536.31,536.96,11.377,856.31,376.84,1295.8,591.82,558.18,1624,585.94,400.89,533.28,322.12,436.15,1241.2,309.81,510.56,39.182,152.38,425.7,13.515,397.05,247.64,518.3,438.05,11.371,844.71,285.24,1397.6,280.63,418.05,438.47,3.1049,466.65,13.474,527.15,274.5,315.93,271.82,1038.5,343.52,519.4,592.71,12.439,479.89,394.96,828.15,462.03,19841,497.98,649.87,304.21,1149.8,420.56,254.34,479.02,250.39,323.52,321.4,626.27,528.88,477.41,471.02
1.1.1.169,12159,4164.8,2784,9883.4,9588.9,211.92,12139,7230.8,27660,11010,9930.3,20560,9339.6,7401.7,10235,5963.5,10700,17384,4752.8,9322.1,710.15,3065.3,7960.5,261.78,8162.5,4701.9,10810,7542,177.34,12175,4882.9,17119,4760.8,5905.7,8933.6,141.26,10637,231.72,9985.4,4881.7,4997.3,4892.2,13870,5857.6,10235,10498,192.76,8151,7285.6,11839,8107.4,2.42E+05,9306.3,11599,6689.2,15828,7589.8,4769.3,8419.5,3253.6,5846.6,5755,11184,8971.6,8371.1,8261
