Genus,Baseline-1,Baseline-10,Baseline-11,Baseline-12,Baseline-13,Baseline-14,Baseline-15,Baseline-16,Baseline-17,Baseline-18,Baseline-19,Baseline-2,Baseline-20,Baseline-21,Baseline-22,Baseline-23,Baseline-24,Baseline-25,Baseline-26,Baseline-27,Baseline-28,Baseline-29,Baseline-3,Baseline-30,Baseline-31,Baseline-32,Baseline-33,Baseline-4,Baseline-5,Baseline-6,Baseline-7,Baseline-8,Baseline-9,Kefir,Neg-DNAextr1,Neg-DNAextr2,Neg-DNAextr3,Neg-DNAextr4,Neg-DNAextr5,Neg-DNAextr6,OutsideFarm-1,OutsideFarm-10,OutsideFarm-11,OutsideFarm-12,OutsideFarm-13,OutsideFarm-2,OutsideFarm-3,OutsideFarm-4,OutsideFarm-5,OutsideFarm-6,OutsideFarm-7,OutsideFarm-8,OutsideFarm-9,SequencingBlank,TxAntibiotic-1,TxAntibiotic-10,TxAntibiotic-11,TxAntibiotic-12,TxAntibiotic-2,TxAntibiotic-3,TxAntibiotic-4,TxAntibiotic-5,TxAntibiotic-6,TxAntibiotic-7,TxAntibiotic-8,TxAntibiotic-9
Achromobacter,3,4,2,3,3.02,4,3,3.83,3,4,3,4,4,3,3,3,3,2,2,3,2.86,3,3,3,2,3,3.79,3.46,3,3,3,3,2.88,2.96,3,3,3,5,4,4,3,3.01,3,4,3.01,4,3,4,3,3,2,3,3.34,4.99,5,4,2.56,2.93,4,3.36,5,6,3,3,3,4
Acidipropionibacterium,4,3,4,3,3,4,3,3,3.04,3.95,4,3,4,3,3,3,2,3,3,3,2,5,4,5,3,5,4,3,4,5,4,4.02,4,3.02,4.15,3,3,3,3,4,3,4,5,5,4,4,3,3,4,4,2.01,4,4.05,3,3,2.06,2.02,4,4,3.01,3,3,4,2,3,3
Acidovorax,4,4,4.09,3,3,4,3,3.83,3,3.96,4,3,3.82,3,4,3,2.62,3,3,3,3.07,4.8,4,5,3,4,3.86,3.82,4,4,4,4,2.87,2.17,3,3,4,4,4,3,3,3,4,3,3,4,2,4,3,4,3,3,4,3,3,2,2,4,3.06,3,3.05,3,4,3,3,3
Acinetobacter,7,9,9,8,8,9,9,8,8,9,9,9,9,8,8.44,9,9,9,8,8,9,9,9,9,9,9,9,8,8,8,9,8,8,5.04,7,9,8,9,9,9,6,9,8,9,6.91,9,8,8,7,9,8,9,8,9,9,9,9,9,8.06,7,8.04,8,9,8,8,9
Actinomyces,4.53,5,6,4.37,5.97,5,4.04,5,4,5,5,4.76,4,3,5,4,4,4,3,4,4.77,6,5,6,4,6,5,5,4.96,5,5,5.2,4,4,4,3,5.15,4,4,4,4,5,5,5,4.62,5,4.99,4.87,5,5,4,5,5,6,4,3,3,5,4.06,4,5.04,4,4.88,3.54,4.16,3
Actinoplanes,3,2,2,2,2,3,2,2,2.97,3,3.04,2,2,2,2,2,2,1,2,3,2,3,3,3,2,3,3,2,3,2,3,3,1,2,3,3,3,3,3,3,2,3,2,3,3,3,2,2,2,3,2,2,3,3,3,2,1,3,2,3,3,2,3,3,2,2
Adlercreutzia,2,2,2,1,3.01,3,2,3,1,2,2,2,2,3,3,2,1,1,2,1,1,3,2,3,2,2,2,3,2,4,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,3,1,2,2,2,1,2,2,3,2,1,1,2,2,2,2,1,2,2,2,2
Aequorivita,3,2,2,1,2,3,2,2,1,2,2,2,2,2,2,3,2,1,2,2,1,3,2,2,2,2,2,3,2,2,2,2,1,2,3,3,3,3,3,3,3,2,2,2,2,2,1,2,2,2,2,2,2,3,2,1,1,1,3,2,2,1,2,2,2,2
Aerococcus,4,5,4,4,4.01,5,4,4,4,5,4.98,5,5,4,5,4,4,4.02,4,4,5,5.21,5,5,5,5.05,6,4.05,5,4,4.99,4,3.96,4.04,4.15,3,5,5,5,5,4,5,5,6,4.85,5,4,6,4.04,6,4,6,5,4,4,5,4,5,3.88,4,4,3,4.98,5,4,5
Aeromicrobium,2,3,3,2,2,3,2,3,2,2,2,2,2,3,3,2,2,1,2,2,1,3,2,3,2,3,2,2,2,2,3,2,1,2,3,3,3,3,3,3,3,3,3,2,2,3,2,2,2,3,1,2,2.98,3,3,2,2,2.29,2,2,3,1,3,2,2,2
