Sample,Baseline-11,OutsideFarm-2,Baseline-8,TxAntibiotic-2,Baseline-26,OutsideFarm-9,Baseline-25,Baseline-29,Baseline-10,Baseline-27,Baseline-13,OutsideFarm-12,OutsideFarm-6,TxAntibiotic-12,Baseline-7,Baseline-31,TxAntibiotic-5,TxAntibiotic-8,Baseline-6,Baseline-33,TxAntibiotic-11,Baseline-19,TxAntibiotic-6,Baseline-23,Baseline-30,TxAntibiotic-7,Baseline-24,Baseline-15,TxAntibiotic-9,Baseline-14,Baseline-1,Baseline-17,TxAntibiotic-3,OutsideFarm-4,Baseline-22,Baseline-9,Baseline-2,Baseline-5,Baseline-16,Baseline-20,Baseline-21,TxAntibiotic-4,OutsideFarm-13,Baseline-32,OutsideFarm-11,TxAntibiotic-1,OutsideFarm-3,OutsideFarm-7,Baseline-12,Baseline-18,OutsideFarm-10,TxAntibiotic-10,OutsideFarm-5,Baseline-28,OutsideFarm-1,Baseline-4,OutsideFarm-8,Baseline-3
Baseline-11,0,0.24835,0.45775,0.3401,0.4485,0.44115,0.29665,0.4798,0.307,0.3821,0.4263,0.41995,0.31825,0.38555,0.24995,0.47385,0.35775,0.4238,0.34515,0.4796,0.569,0.3116,0.3965,0.4027,0.3277,0.54965,0.388,0.34865,0.4744,0.4336,0.3431,0.39235,0.31985,0.26255,0.3037,0.2834,0.3331,0.2589,0.40825,0.3917,0.4368,0.40845,0.5208,0.45695,0.3559,0.3197,0.34235,0.5009,0.2646,0.36225,0.35605,0.54885,0.46725,0.5012,0.34105,0.4317,0.29585,0.29485
OutsideFarm-2,0.24835,0,0.56905,0.37385,0.43355,0.5375,0.3389,0.5039,0.26565,0.39945,0.5232,0.4466,0.41955,0.42,0.25185,0.45965,0.40835,0.54195,0.34755,0.5385,0.6429,0.32535,0.36575,0.41475,0.40915,0.5471,0.4092,0.3885,0.553,0.4154,0.33235,0.32425,0.20845,0.2958,0.291,0.3473,0.2269,0.2739,0.5104,0.3013,0.5388,0.39015,0.527,0.41665,0.4213,0.25955,0.3819,0.48645,0.266,0.3733,0.3768,0.57085,0.32385,0.5294,0.4125,0.5119,0.4221,0.32205
Baseline-8,0.45775,0.56905,0,0.3504,0.5741,0.3252,0.47215,0.51025,0.4868,0.57495,0.25605,0.5022,0.4889,0.473,0.4475,0.6383,0.4095,0.3906,0.53425,0.5279,0.6325,0.5288,0.47365,0.53905,0.5701,0.6065,0.52935,0.5075,0.59055,0.50165,0.425,0.63975,0.51195,0.4012,0.50165,0.43295,0.50105,0.4265,0.31195,0.4704,0.71005,0.4397,0.5728,0.5472,0.5388,0.4942,0.3934,0.5717,0.37475,0.46595,0.4177,0.5871,0.52825,0.57705,0.4561,0.3071,0.53005,0.39415
TxAntibiotic-2,0.3401,0.37385,0.3504,0,0.4134,0.4788,0.3939,0.46235,0.3141,0.3947,0.3785,0.375,0.31255,0.30035,0.23425,0.4802,0.3147,0.4386,0.39605,0.34945,0.49755,0.3611,0.32545,0.37595,0.4174,0.489,0.38945,0.3352,0.5082,0.39055,0.2674,0.43665,0.3162,0.31775,0.3091,0.27505,0.2666,0.31015,0.48275,0.30625,0.5923,0.3229,0.49575,0.36975,0.42075,0.27545,0.3484,0.45585,0.25245,0.3166,0.26895,0.5545,0.33675,0.5322,0.3904,0.49255,0.3606,0.29345
Baseline-26,0.4485,0.43355,0.5741,0.4134,0,0.66165,0.5126,0.47575,0.4315,0.4654,0.5793,0.4391,0.30295,0.3917,0.434,0.54925,0.43185,0.5276,0.447,0.4886,0.58015,0.4161,0.53805,0.3517,0.50005,0.51655,0.471,0.44155,0.57715,0.3535,0.43075,0.4407,0.39735,0.3758,0.384,0.4644,0.39825,0.36945,0.56925,0.49155,0.5624,0.4941,0.59295,0.4582,0.41925,0.42685,0.4103,0.5404,0.45045,0.48395,0.4506,0.69125,0.3815,0.5645,0.3159,0.63375,0.4172,0.42425
OutsideFarm-9,0.44115,0.5375,0.3252,0.4788,0.66165,0,0.46105,0.5841,0.4911,0.5951,0.29835,0.5142,0.5409,0.5006,0.5399,0.64005,0.54515,0.48385,0.5862,0.6143,0.65525,0.5527,0.4993,0.5878,0.5474,0.6123,0.5506,0.55235,0.6115,0.5154,0.53575,0.5744,0.56385,0.49555,0.53975,0.5203,0.51715,0.4783,0.2922,0.5122,0.6948,0.4341,0.62865,0.56985,0.59315,0.53745,0.56365,0.65075,0.4616,0.59625,0.5207,0.6341,0.6051,0.6491,0.5299,0.27575,0.519,0.4591
Baseline-25,0.29665,0.3389,0.47215,0.3939,0.5126,0.46105,0,0.54975,0.3327,0.4461,0.42695,0.4458,0.4509,0.39075,0.4141,0.41305,0.4469,0.35695,0.37765,0.39475,0.6403,0.3081,0.3057,0.39185,0.3246,0.56525,0.375,0.38455,0.4746,0.35725,0.3776,0.44075,0.3482,0.3586,0.3721,0.32555,0.43135,0.31575,0.4617,0.36085,0.56615,0.2709,0.54335,0.4272,0.4226,0.35715,0.51245,0.5204,0.37835,0.35745,0.4341,0.53035,0.36285,0.50285,0.4145,0.4611,0.3501,0.33115
Baseline-29,0.4798,0.5039,0.51025,0.46235,0.47575,0.5841,0.54975,0,0.4949,0.5209,0.4914,0.40725,0.4002,0.49395,0.4384,0.5276,0.3916,0.5124,0.4614,0.53555,0.5882,0.4656,0.54925,0.51465,0.39905,0.57235,0.5735,0.5442,0.6047,0.4021,0.4548,0.62875,0.44825,0.367,0.36025,0.47885,0.4628,0.41625,0.54375,0.5292,0.57655,0.4435,0.62735,0.54215,0.4969,0.4496,0.4362,0.55075,0.4073,0.43325,0.44785,0.61425,0.52065,0.57965,0.41675,0.4333,0.4894,0.47285
Baseline-10,0.307,0.26565,0.4868,0.3141,0.4315,0.4911,0.3327,0.4949,0,0.4098,0.46035,0.4037,0.3739,0.31155,0.2229,0.50925,0.26825,0.45325,0.32,0.4393,0.5629,0.3267,0.2934,0.39725,0.3616,0.5053,0.3716,0.3743,0.4204,0.3335,0.33975,0.3026,0.315,0.2787,0.3194,0.36785,0.209,0.29635,0.4422,0.32015,0.4861,0.2902,0.4491,0.47525,0.3549,0.229,0.3427,0.4732,0.27665,0.3563,0.33715,0.5595,0.37185,0.48115,0.316,0.4644,0.3666,0.3253
Baseline-27,0.3821,0.39945,0.57495,0.3947,0.4654,0.5951,0.4461,0.5209,0.4098,0,0.5981,0.4479,0.35165,0.3565,0.37415,0.521,0.40885,0.4821,0.4277,0.4978,0.6068,0.4379,0.46075,0.37585,0.5343,0.54765,0.4132,0.55365,0.4864,0.36735,0.3325,0.4595,0.38465,0.4106,0.346,0.3918,0.4036,0.4081,0.5742,0.49265,0.54505,0.43955,0.5105,0.45095,0.3551,0.3787,0.4716,0.47635,0.3906,0.40935,0.39555,0.5993,0.417,0.4285,0.42605,0.57165,0.4401,0.4394
Baseline-13,0.4263,0.5232,0.25605,0.3785,0.5793,0.29835,0.42695,0.4914,0.46035,0.5981,0,0.5098,0.49445,0.54505,0.4717,0.62685,0.479,0.4388,0.61025,0.5337,0.61195,0.57605,0.50485,0.5743,0.4836,0.58375,0.4815,0.45765,0.62635,0.44475,0.45145,0.54645,0.5394,0.38445,0.4623,0.4353,0.45075,0.3621,0.36755,0.4412,0.7117,0.43715,0.65185,0.48025,0.49235,0.4616,0.434,0.55055,0.4147,0.5552,0.42765,0.5359,0.5192,0.56365,0.44465,0.277,0.49325,0.41345
OutsideFarm-12,0.41995,0.4466,0.5022,0.375,0.4391,0.5142,0.4458,0.40725,0.4037,0.4479,0.5098,0,0.3447,0.36995,0.35565,0.47625,0.3387,0.3553,0.3887,0.4456,0.48755,0.4251,0.39435,0.4407,0.4286,0.5874,0.43305,0.4625,0.54285,0.3436,0.4229,0.4717,0.40425,0.3288,0.3509,0.32615,0.39025,0.4008,0.43265,0.42065,0.60605,0.44915,0.6077,0.50425,0.412,0.457,0.4299,0.49575,0.3199,0.3558,0.4096,0.60385,0.47255,0.48745,0.4048,0.513,0.33135,0.3806
OutsideFarm-6,0.31825,0.41955,0.4889,0.31255,0.30295,0.5409,0.4509,0.4002,0.3739,0.35165,0.49445,0.3447,0,0.36485,0.3182,0.47835,0.3362,0.49175,0.4095,0.4554,0.56665,0.3391,0.44125,0.3772,0.44835,0.4963,0.4084,0.4727,0.51365,0.3698,0.3101,0.47715,0.3441,0.33335,0.30465,0.38515,0.31945,0.3447,0.5083,0.491,0.54625,0.38035,0.57495,0.3711,0.3825,0.3073,0.3056,0.5316,0.3119,0.33425,0.29985,0.6676,0.4202,0.44665,0.37185,0.4912,0.3021,0.40125
TxAntibiotic-12,0.38555,0.42,0.473,0.30035,0.3917,0.5006,0.39075,0.49395,0.31155,0.3565,0.54505,0.36995,0.36485,0,0.3332,0.4963,0.3517,0.4509,0.45055,0.37685,0.45395,0.3528,0.4021,0.361,0.46195,0.4962,0.41415,0.3914,0.47755,0.38175,0.3988,0.4034,0.4623,0.37065,0.37905,0.3703,0.4011,0.32375,0.5019,0.47635,0.5236,0.3783,0.53195,0.45,0.3773,0.3813,0.4906,0.5102,0.36825,0.38295,0.4477,0.54485,0.43965,0.51385,0.393,0.5256,0.3492,0.36645
Baseline-7,0.24995,0.25185,0.4475,0.23425,0.434,0.5399,0.4141,0.4384,0.2229,0.37415,0.4717,0.35565,0.3182,0.3332,0,0.5223,0.24385,0.47465,0.26865,0.43865,0.5517,0.34625,0.36095,0.37645,0.36125,0.5239,0.38205,0.3563,0.49265,0.37275,0.3031,0.4019,0.2754,0.25805,0.3127,0.29835,0.1964,0.31455,0.5271,0.35475,0.5521,0.36955,0.5162,0.4313,0.39235,0.263,0.37205,0.48595,0.233,0.3376,0.26955,0.55365,0.3749,0.5187,0.3296,0.53215,0.3864,0.23505
Baseline-31,0.47385,0.45965,0.6383,0.4802,0.54925,0.64005,0.41305,0.5276,0.50925,0.521,0.62685,0.47625,0.47835,0.4963,0.5223,0,0.5557,0.46575,0.4656,0.49945,0.6154,0.4219,0.45655,0.46765,0.4875,0.59815,0.61955,0.4465,0.65615,0.4588,0.4738,0.56025,0.49715,0.5434,0.42555,0.45465,0.48625,0.441,0.6296,0.55035,0.58995,0.4669,0.5924,0.56565,0.49195,0.49595,0.5421,0.5487,0.5018,0.46365,0.5405,0.5984,0.53815,0.49835,0.5572,0.5589,0.4737,0.51235
TxAntibiotic-5,0.35775,0.40835,0.4095,0.3147,0.43185,0.54515,0.4469,0.3916,0.26825,0.40885,0.479,0.3387,0.3362,0.3517,0.24385,0.5557,0,0.4093,0.3538,0.4313,0.51495,0.4025,0.3192,0.43575,0.4521,0.55685,0.421,0.41985,0.4859,0.3696,0.33475,0.4721,0.3425,0.247,0.2968,0.35485,0.29705,0.3157,0.4706,0.41525,0.5873,0.3764,0.5057,0.47555,0.38295,0.30915,0.2909,0.5131,0.22805,0.32925,0.338,0.5775,0.47655,0.4999,0.2357,0.4779,0.41665,0.29385
TxAntibiotic-8,0.4238,0.54195,0.3906,0.4386,0.5276,0.48385,0.35695,0.5124,0.45325,0.4821,0.4388,0.3553,0.49175,0.4509,0.47465,0.46575,0.4093,0,0.4727,0.47485,0.6493,0.48005,0.35555,0.39665,0.47635,0.62505,0.50915,0.5164,0.55365,0.33675,0.4891,0.5435,0.53,0.3535,0.44935,0.39015,0.50965,0.3916,0.48695,0.5422,0.6335,0.44225,0.57205,0.48075,0.42695,0.5597,0.41655,0.41065,0.43515,0.3975,0.47855,0.6237,0.4773,0.46365,0.3864,0.5158,0.3801,0.41385
Baseline-6,0.34515,0.34755,0.53425,0.39605,0.447,0.5862,0.37765,0.4614,0.32,0.4277,0.61025,0.3887,0.4095,0.45055,0.26865,0.4656,0.3538,0.4727,0,0.55145,0.654,0.38285,0.40405,0.34925,0.38025,0.48955,0.4818,0.48245,0.56505,0.35195,0.39235,0.5064,0.24585,0.33645,0.36995,0.36765,0.37195,0.40545,0.48295,0.38215,0.59055,0.3372,0.4802,0.51425,0.45435,0.3838,0.43515,0.5118,0.3368,0.39435,0.3788,0.58,0.4874,0.5496,0.35685,0.5035,0.4394,0.24495
Baseline-33,0.4796,0.5385,0.5279,0.34945,0.4886,0.6143,0.39475,0.53555,0.4393,0.4978,0.5337,0.4456,0.4554,0.37685,0.43865,0.49945,0.4313,0.47485,0.55145,0,0.53205,0.4993,0.44025,0.51035,0.51295,0.4304,0.46745,0.4493,0.4808,0.49795,0.42165,0.45805,0.5186,0.4771,0.47145,0.38955,0.49815,0.4908,0.5994,0.4456,0.58695,0.4805,0.5764,0.593,0.44305,0.49125,0.4877,0.4997,0.45485,0.4947,0.516,0.58065,0.3848,0.5734,0.38025,0.60985,0.43945,0.4876
