Display.TAG	AFTER_QC_READS
TxAntibiotic_6_2018-09-20	57879320
TxAntibiotic_8_2018-09-26	56578725
TxAntibiotic_5_2018-09-19	65976721
TxAntibiotic_12_2018-10-05	51421555
TxAntibiotic_9_2018-09-29	52073048
TxAntibiotic_2_2018-09-07	68697961
TxAntibiotic_11_2018-10-04	15808729
TxAntibiotic_10_2018-10-03	44249663
TxAntibiotic_1_2018-09-06	58717993
TxAntibiotic_4_2018-09-14	51513083
TxAntibiotic_3_2018-09-13	64111296
TxAntibiotic_7_2018-09-21	42763541
Baseline_7_2018-09-11	60456120
Baseline_3_2018-09-07	68930806
Baseline_11_2018-09-15	62801926
Baseline_2_2018-09-06	53837643
Baseline_23_2018-09-27	64495591
Baseline_20_2018-09-24	67052503
Baseline_31_2018-10-05	37396911
Baseline_17_2018-09-21	47513967
Baseline_30_2018-10-04	60444064
Baseline_33_2018-10-07	56206807
Baseline_29_2018-10-03	73471806
Baseline_8_2018-09-12	57457988
Baseline_26_2018-09-30	52906905
Baseline_13_2018-09-17	62513337
Baseline_19_2018-09-23	56573329
Baseline_14_2018-09-18	53048232
Baseline_9_2018-09-13	77647865
Baseline_32_2018-10-06	65268857
Baseline_22_2018-09-26	53868747
Baseline_10_2018-09-14	56819265
Baseline_25_2018-09-29	71828466
Baseline_6_2018-09-10	64958907
Baseline_28_2018-10-02	48342756
Baseline_21_2018-09-25	51155830
Baseline_18_2018-09-22	50361140
Baseline_16_2018-09-20	61258041
Baseline_15_2018-09-19	46361658
Baseline_5_2018-09-09	78906881
Baseline_27_2018-10-01	57053416
Baseline_24_2018-09-28	48080838
Baseline_4_2018-09-08	67647346
Baseline_1_2018-09-05	70695820
Baseline_12_2018-09-16	67373971
OutsideFarm_3_2018-09-11	59938254
OutsideFarm_10_2018-10-01	56818256
Neg_DNAextr_3	826636
OutsideFarm_9_2018-09-28	66770518
Neg_DNAextr_5	1114407
OutsideFarm_11_2018-10-03	71955045
OutsideFarm_8_2018-09-24	68822923
Neg_DNAextr_1	1382236
OutsideFarm_13_2018-10-07	73720389
OutsideFarm_6_2018-09-20	73312858
OutsideFarm_2_2018-09-10	55197311
OutsideFarm_5_2018-09-17	60579908
OutsideFarm_7_2018-09-22	33631590
OutsideFarm_12_2018-10-06	52813114
OutsideFarm_1_2018-09-05	66557961
Neg_DNAextr_2	1353832
SequencingBlank	1051308
Kefir	62033517
Neg_DNAextr_6	909257
Neg_DNAextr_4	1104617
OutsideFarm_4_2018-09-12	67057031
