sample	nMicrobes	date	type
Baseline_1_2018.09.05	2.029052661	2018.09.05	Baseline
OutsideFarm_1_2018.09.05	1.949025063	2018.09.05	OutsideFarm
TxAntibiotic_NULL	NA	2018.09.05	TxAntibiotic
Baseline_2_2018.09.06	1.603894295	2018.09.06	Baseline
TxAntibiotic_1_2018.09.06	2.228536987	2018.09.06	TxAntibiotic
OutsideFarm	NA	2018.09.06	OutsideFarm
Baseline_3_2018.09.07	1.502551037	2018.09.07	Baseline
TxAntibiotic_2_2018.09.07	1.844521234	2018.09.07	TxAntibiotic
NA	NA	2018.09.07	OutsideFarm
Baseline_5_2018.09.09	1.375610043	2018.09.09	Baseline
NA	NA	2018.09.09	TxAntibiotic
NA	NA	2018.09.09	OutsideFarm
Baseline_6_2018.09.10	1.865717657	2018.09.10	Baseline
NA	NA	2018.09.10	TxAntibiotic
OutsideFarm_2_2018.09.10	1.596273034	2018.09.10	OutsideFarm
Baseline_7_2018.09.11	1.505441367	2018.09.11	Baseline
OutsideFarm_3_2018.09.11	1.753130776	2018.09.11	OutsideFarm
NA	NA	2018.09.11	TxAntibiotic
OutsideFarm_4_2018.09.12	1.402965249	2018.09.12	OutsideFarm
NA	NA	2018.09.12	Baseline
NA	NA	2018.09.12	TxAntibiotic
Baseline_9_2018.09.13	1.864166991	2018.09.13	Baseline
TxAntibiotic_3_2018.09.13	1.957540574	2018.09.13	TxAntibiotic
NA	NA	2018.09.13	OutsideFarm
Baseline_10_2018.09.14	1.526975992	2018.09.14	Baseline
TxAntibiotic_4_2018.09.14	1.413219672	2018.09.14	TxAntibiotic
NA	NA	2018.09.14	OutsideFarm
Baseline_11_2018.09.15	1.459930268	2018.09.15	Baseline
NA	NA	2018.09.15	OutsideFarm
NA	NA	2018.09.15	TxAntibiotic
Baseline_12_2018.09.16	1.77301916	2018.09.16	Baseline
NA	NA	2018.09.16	OutsideFarm
NA	NA	2018.09.16	TxAntibiotic
OutsideFarm_5_2018.09.17	2.032575241	2018.09.17	OutsideFarm
NA	NA	2018.09.17	TxAntibiotic
NA	NA	2018.09.17	Baseline
NA	NA	2018.09.18	TxAntibiotic
NA	NA	2018.09.18	OutsideFarm
Baseline_14_2018.09.18	1.644259438	2018.09.18	Baseline
Baseline_15_2018.09.19	1.864998992	2018.09.19	Baseline
TxAntibiotic_5_2018.09.19	2.115565438	2018.09.19	TxAntibiotic
NA	NA	2018.09.19	OutsideFarm
OutsideFarm_6_2018.09.20	1.634924602	2018.09.20	OutsideFarm
TxAntibiotic_6_2018.09.20	1.981247696	2018.09.20	TxAntibiotic
NA	NA	2018.09.20	Baseline
Baseline_17_2018.09.21	2.246588815	2018.09.21	Baseline
TxAntibiotic_7_2018.09.21	2.387464111	2018.09.21	TxAntibiotic
NA	NA	2018.09.21	OutsideFarm
Baseline_18_2018.09.22	1.700481587	2018.09.22	Baseline
OutsideFarm_7_2018.09.22	2.138029194	2018.09.22	OutsideFarm
NA	NA	2018.09.22	TxAntibiotic
Baseline_19_2018.09.23	1.811631159	2018.09.23	Baseline
NA	NA	2018.09.23	OutsideFarm
NA	NA	2018.09.23	TxAntibiotic
Baseline_20_2018.09.24	1.645087413	2018.09.24	Baseline
OutsideFarm_8_2018.09.24	2.034249296	2018.09.24	OutsideFarm
NA	NA	2018.09.24	TxAntibiotic
Baseline_21_2018.09.25	2.404428777	2018.09.25	Baseline
NA	NA	2018.09.25	OutsideFarm
NA	NA	2018.09.25	TxAntibiotic
Baseline_22_2018.09.26	1.657211787	2018.09.26	Baseline
TxAntibiotic_8_2018.09.26	0.873584557	2018.09.26	TxAntibiotic
NA	NA	2018.09.26	OutsideFarm
Baseline_23_2018.09.27	1.937557039	2018.09.27	Baseline
NA	NA	2018.09.27	TxAntibiotic
NA	NA	2018.09.27	OutsideFarm
Baseline_24_2018.09.28	2.422823734	2018.09.28	Baseline
NA	NA	2018.09.28	OutsideFarm
NA	NA	2018.09.28	TxAntibiotic
Baseline_25_2018.09.29	1.633181549	2018.09.29	Baseline
TxAntibiotic_9_2018.09.29	1.869364292	2018.09.29	TxAntibiotic
NA	NA	2018.09.29	OutsideFarm
Baseline_26_2018.09.30	1.638955252	2018.09.30	Baseline
NA	NA	2018.09.30	TxAntibiotic
NA	NA	2018.09.30	OutsideFarm
Baseline_27_2018.10.01	2.270474457	2018.10.01	Baseline
OutsideFarm_10_2018.10.01	1.509246279	2018.10.01	OutsideFarm
NA	NA	2018.10.01	TxAntibiotic
Baseline_28_2018.10.02	1.234510149	2018.10.02	Baseline
NA	NA	2018.10.02	TxAntibiotic
NA	NA	2018.10.02	OutsideFarm
Baseline_29_2018.10.03	1.776215986	2018.10.03	Baseline
OutsideFarm_11_2018.10.03	2.238161591	2018.10.03	OutsideFarm
TxAntibiotic_10_2018.10.03	2.394342358	2018.10.03	TxAntibiotic
Baseline_30_2018.10.04	1.815280495	2018.10.04	Baseline
TxAntibiotic_11_2018.10.04	2.428483941	2018.10.04	TxAntibiotic
NA	NA	2018.10.04	OutsideFarm
Baseline_31_2018.10.05	2.884789226	2018.10.05	Baseline
TxAntibiotic_12_2018.10.05	1.93470079	2018.10.05	TxAntibiotic
NA	NA	2018.10.05	OutsideFarm
Baseline_32_2018.10.06	1.80494101	2018.10.06	Baseline
OutsideFarm_12_2018.10.06	2.009537916	2018.10.06	OutsideFarm
NA	NA	2018.10.06	TxAntibiotic
Baseline_33_2018.10.07	2.584482835	2018.10.07	Baseline
NA	NA	2018.10.07	OutsideFarm
NA	NA	2018.10.07	TxAntibiotic
