# Constructed from biom file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#OTU ID,Baseline_1_2018.09.05_ds10813553,Baseline_10_2018.09.14_ds10813559,Baseline_11_2018.09.15_ds10813571,Baseline_12_2018.09.16_ds10813570,Baseline_13_2018.09.17_ds10813556,Baseline_14_2018.09.18_ds10813558,Baseline_15_2018.09.19_ds10813575,Baseline_16_2018.09.20_ds10811746,Baseline_17_2018.09.21_ds10813554,Baseline_18_2018.09.22_ds10813555,Baseline_19_2018.09.23_ds10813563,Baseline_2_2018.09.06_ds10813564,Baseline_20_2018.09.24_ds10813569,Baseline_21_2018.09.25_ds10813551,Baseline_22_2018.09.26_ds10813572,Baseline_23_2018.09.27_ds10813557,Baseline_24_2018.09.28_ds10813561,Baseline_25_2018.09.29_ds10811749,Baseline_26_2018.09.30_ds10813560,Baseline_27_2018.10.01_ds10813567,Baseline_28_2018.10.02_ds10813574,Baseline_29_2018.10.03_ds10813578,Baseline_3_2018.09.07_ds10811748,Baseline_30_2018.10.04_ds10811747,Baseline_31_2018.10.05_ds10813562,Baseline_32_2018.10.06_ds10813566,Baseline_33_2018.10.07_ds10813573,Baseline_4_2018.09.08_ds10813565,Baseline_5_2018.09.09_ds10813552,Baseline_6_2018.09.10_ds10813576,Baseline_7_2018.09.11_ds10813577,Baseline_8_2018.09.12_ds10811750,Baseline_9_2018.09.13_ds10813568,Kefir_ds10826596,Neg_DNAextr_1_ds10826595,Neg_DNAextr_2_ds10828555,Neg_DNAextr_3_ds10828557,Neg_DNAextr_4_ds10828558,Neg_DNAextr_5_ds10826597,Neg_DNAextr_6_ds10828559,OutsideFarm_1_2018.09.05_ds10826589,OutsideFarm_10_2018.10.01_ds10826591,OutsideFarm_11_2018.10.03_ds10826593,OutsideFarm_12_2018.10.06_ds10828553,OutsideFarm_13_2018.10.07_ds10828554,OutsideFarm_2_2018.09.10_ds10828551,OutsideFarm_3_2018.09.11_ds10826599,OutsideFarm_4_2018.09.12_ds10826598,OutsideFarm_5_2018.09.17_ds10828552,OutsideFarm_6_2018.09.20_ds10826592,OutsideFarm_7_2018.09.22_ds10826594,OutsideFarm_8_2018.09.24_ds10826590,OutsideFarm_9_2018.09.28_ds10826600,SequencingBlank_ds10828556,TxAntibiotic_1_2018.09.06_ds10798909,TxAntibiotic_10_2018.10.03_ds10798906,TxAntibiotic_11_2018.10.04_ds10798915,TxAntibiotic_12_2018.10.05_ds10798912,TxAntibiotic_2_2018.09.07_ds10798908,TxAntibiotic_3_2018.09.13_ds10798911,TxAntibiotic_4_2018.09.14_ds10798910,TxAntibiotic_5_2018.09.19_ds10798913,TxAntibiotic_6_2018.09.20_ds10798904,TxAntibiotic_7_2018.09.21_ds10798907,TxAntibiotic_8_2018.09.26_ds10798914,TxAntibiotic_9_2018.09.29_ds10798905
Achromobacter,4,8,0,7,4,10,1,7,22,8,2,16,14,5,2,3,17,1,0,19,15,1,2,9,0,9,4,6,4,1,3,2,7,14,0,0,0,4,1,1,3,4,1,15,18,11,25,10,5,1,7,1,7,2,209,304,8,8,37,12,29,1209,5,1,5,21
Acidipropionibacterium,38,5,12,10,1,10,1,3,57,7,14,4,24,5,3,3,11,25,1,31,5,159,12,143,1,199,7,2,18,53,11,16,37,37,3,0,0,0,0,1,6,11,179,30,79,7,16,2,19,17,7,20,24,0,6,19,7,82,44,11,1,23,15,0,1,2
Acidovorax,20,13,17,13,4,7,1,7,29,7,8,5,8,13,5,2,14,21,1,51,55,64,14,87,3,48,4,7,14,11,11,9,7,1,0,0,1,1,1,0,2,3,64,2,13,9,3,15,8,11,13,2,16,0,4,5,5,78,20,2,4,47,18,10,2,2
Acinetobacter,1334,3859,2056,2134,927,3407,662,827,7753,3631,1842,6392,3319,7078,691,2934,12042,4252,718,20062,11211,4841,2450,5726,538,6127,1044,1072,2146,1196,1882,789,1388,1539,72,51,47,127,129,99,647,1061,8736,1655,3106,3783,2523,1772,756,3751,5339,1529,1521,43,4878,18026,5355,6977,4638,1080,723,4269,2957,3016,773,1758
Actinomyces,53,76,127,78,76,48,15,57,217,39,54,36,29,10,40,36,99,64,1,293,263,306,101,469,5,278,26,68,43,60,81,64,85,134,2,0,3,1,1,1,41,55,379,47,154,45,98,33,64,51,114,63,90,5,23,85,35,241,88,50,49,112,42,15,25,4
Actinoplanes,2,0,0,1,0,2,0,0,13,5,5,0,0,0,0,0,3,0,0,25,3,2,1,4,0,9,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0,2,0,1,3,1,4,0,0,1,2,0,3,0,1,2,0,9,0,5,1,4,1,3,0,0
Adlercreutzia,0,0,0,0,4,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,11,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Aequorivita,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Aerococcus,23,39,11,35,19,53,11,9,221,47,32,54,71,100,37,34,149,109,7,160,302,244,41,151,27,209,59,21,87,25,31,12,32,233,3,0,2,3,4,3,38,31,371,129,161,72,74,114,44,164,125,216,52,1,22,473,97,227,25,24,9,39,43,118,19,72
Aeromicrobium,0,4,1,2,0,3,0,3,3,0,0,0,0,1,2,0,3,0,0,2,0,1,0,2,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,1,3,0,0,1,1,0,0,2,0,0,1,0,4,3,5,7,0,0,2,0,1,0,0,0
Aeromonas,119,684,88,4882,115,573,38,147,493,451,116,548,382,265,59,82,2934,1203,14,420,501,624,142,594,9,729,74,119,103,163,96,135,150,126,8,5,6,66,9,11,110,65,1762,154,316,591,7990,84,109,358,175,124,216,10,54,266,1603,481,9619,127,37,8696,252,79,70,48
Aggregatibacter,1,0,10,3,15,4,0,10,11,1,1,3,4,0,2,3,21,1,0,36,552,3,0,24,2,36,2,10,3,1,2,11,1,22,0,0,0,0,0,1,1,0,2,3,7,0,2,3,8,0,9,4,23,0,3,3,34,6,13,0,0,0,11,7,4,25
Agrobacterium,91,87,91,90,62,87,26,69,187,64,51,69,122,92,62,41,130,207,1,140,104,937,97,805,9,835,55,84,262,149,66,45,130,183,4,2,2,4,2,0,99,95,1254,105,194,88,133,227,43,133,81,85,95,2,91,35,37,1362,178,82,33,212,97,12,17,4
Agromyces,2,3,9,4,6,1,0,0,14,4,3,2,1,13,1,0,2,3,0,32,17,26,4,2,0,4,0,0,1,0,1,2,1,0,0,0,1,0,0,0,0,3,2,0,0,0,3,0,2,5,10,1,23,0,0,0,0,16,5,3,6,1,6,0,0,0
Akkermansia,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Alcanivorax,0,2,0,0,4,1,0,2,15,1,1,0,0,1,0,0,5,1,0,8,28,5,0,0,0,1,0,2,0,0,0,8,3,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,2,9,0,1,6,0,0,0,0,2,11,1,0,1,0
Alicycliphilus,1,3,5,7,3,10,0,6,3,4,3,6,1,1,4,7,2,2,0,1,6,2,5,1,0,2,0,26,8,0,2,14,1,0,0,0,0,0,0,0,4,6,1,0,4,5,21,1,1,4,4,2,15,1,17,6,1,1,4,3,2,17,1,1,1,0
Alistipes,6,4,6,0,4,7,0,4,7,8,1,7,1,0,5,1,1,6,2,0,2,13,9,0,0,1,2,5,1,2,6,1,10,4,0,0,1,0,0,0,2,4,0,2,0,4,10,7,7,15,16,9,4,0,0,7,2,0,3,0,1,1,0,21,0,0
Aminobacter,0,0,1,0,0,1,0,0,9,0,0,0,2,1,0,0,0,2,0,0,9,17,2,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,14,0,0,2,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0
Anaerococcus,19,15,18,13,12,19,34,3,117,12,28,5,29,494,42,32,252,26,9,295,96,90,16,118,59,147,61,9,24,26,8,7,19,187,2,0,2,0,1,1,13,32,60,73,251,7,37,30,23,25,85,45,13,1,179,145,100,154,19,18,18,40,65,113,11,27
Anaerostipes,33,17,3,32,34,7,18,48,210,20,31,15,17,260,12,19,368,21,14,443,1309,1,28,1,2,2,10,25,28,21,10,49,16,53,1,0,0,3,3,4,18,29,10,14,28,30,35,6,23,28,148,33,80,1,9,276,245,11,39,46,9,64,20,256,36,54
Anoxybacillus,0,3,0,0,1,6,1,1,18,4,2,7,0,26,0,3,24,6,1,23,73,0,0,1,0,0,0,1,15,0,0,2,0,2,1,0,0,0,0,0,8,2,0,0,0,2,0,0,2,3,7,0,0,0,0,23,14,0,0,0,2,1,3,1,0,0
Arthrobacter,15,5,12,10,7,3,11,5,31,7,16,11,18,12,11,1,30,15,0,29,14,6,11,81,1,51,0,6,11,17,12,13,15,13,0,0,0,0,0,0,0,9,34,3,4,2,6,17,10,7,10,8,1,0,2,8,2,33,6,4,16,28,7,3,3,1
Atopobium,4,9,3,3,5,6,0,3,58,0,1,1,11,0,2,0,18,5,1,1,7,84,3,204,0,59,1,0,3,3,0,4,10,1,0,0,0,1,0,0,1,10,199,0,0,3,0,2,1,6,21,3,8,0,1,17,4,70,4,1,5,4,19,1,0,1
Aureimonas,0,1,0,1,0,1,0,0,0,0,0,0,0,19,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,8,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Azoarcus,0,0,0,0,10,2,0,13,6,1,0,0,0,0,0,0,0,2,0,0,43,3,4,0,1,0,0,7,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,15,0,2,0,0,4,11,4,2,15,1,0,7,0
Azospira,0,12,2,5,11,4,2,1,5,4,1,6,13,2,0,0,8,25,0,31,39,1,0,0,1,0,0,1,1,2,5,1,0,0,0,0,0,0,0,0,1,0,3,0,0,3,12,0,6,4,13,0,9,0,0,3,0,0,6,0,0,8,13,1,0,0
Azospirillum,1,3,2,2,0,2,0,5,6,0,3,0,4,0,0,1,0,0,0,6,0,12,0,1,0,18,0,2,1,0,1,0,5,0,0,0,0,0,0,0,0,1,2,2,0,2,6,0,2,1,8,0,2,0,0,4,1,9,11,2,1,6,1,1,0,0
Azotobacter,5,15,6,29,8,23,3,13,19,11,4,5,8,6,2,5,19,5,1,25,79,0,4,0,0,0,0,15,11,2,7,16,3,0,0,0,0,1,0,0,8,4,1,0,0,18,11,5,12,11,14,3,28,0,8,8,7,10,36,3,6,18,14,1,6,0
Bacillus,30,22,21,30,16,26,24,9,135,21,16,16,59,337,12,21,356,35,23,343,260,29,17,34,14,23,21,15,21,8,21,4,34,9464,22,2,1,5,2,2,48,23,49,14,159,15,103,3,35,45,80,18,17,1,50,427,156,48,73,35,6,58,16,161,20,51
Bacteroides,1330,816,847,687,971,706,529,1000,8738,661,868,684,839,9714,692,889,8769,846,154,12997,19954,99,2057,39,75,120,63,1318,723,1168,676,819,1225,61,65,10,18,98,63,82,761,887,96,166,93,628,913,473,594,762,5664,1274,1666,24,668,11373,3749,256,1144,815,471,1070,1572,4246,903,1070
Betapapillomavirus,5,1,0,0,1,5,4,4,41,2,2,0,1,57,0,1,1,1,0,39,36,12,0,7,0,12,2,5,0,7,6,0,2,0,0,0,0,0,0,0,2,0,21,1,1,5,0,0,0,5,14,1,3,0,0,37,9,9,7,1,0,3,2,0,2,0
Beutenbergia,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1,0,1,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,1,1,0,0,1,2,1,2,0,0,0,0,0,0,0
Bifidobacterium,45,32,34,57,49,28,5,29,47,16,52,29,38,226,20,20,28,42,129,33,82,89,38,15,2,43,12,76,55,63,60,46,46,90718,155,0,1,3,1,1,300,86,291,11,131,55,51,88,256,46,87,27,36,2,34,13,40,502,20,254,30,43,12,121,7,44
Blastochloris,0,6,0,1,0,1,0,0,8,1,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,3,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,8,1,0,0,0,0,1,1,0
Bordetella,3,7,1,8,0,8,2,5,23,0,3,1,5,8,2,3,15,5,0,21,21,20,11,9,0,33,7,3,0,2,3,2,3,0,0,0,0,0,0,0,1,3,3,7,2,5,7,4,0,8,5,7,3,0,6,5,11,7,8,0,3,54,5,3,1,0
Bosea,9,17,7,17,3,9,11,5,25,20,3,2,11,2,11,3,9,15,0,21,24,21,3,15,0,52,3,2,12,13,12,4,34,3,0,0,0,0,0,0,2,35,71,2,4,20,12,41,7,22,18,7,6,0,12,10,8,48,13,0,14,33,23,2,1,0
Brachybacterium,8,6,9,11,4,10,11,2,11,6,2,5,4,6,4,0,7,11,0,17,17,63,5,13,0,42,2,6,4,8,9,7,9,12,0,0,0,0,0,0,5,9,39,6,32,20,17,3,10,10,18,6,4,0,2,4,3,25,3,3,6,8,2,1,1,0
Bradyrhizobium,213,244,210,237,161,131,67,180,67,78,90,100,194,83,107,49,43,159,1,49,37,328,188,177,5,288,105,203,181,197,231,219,277,69,7,6,1,2,3,2,141,319,299,51,329,166,250,184,303,155,58,64,214,0,132,32,13,42,25,114,223,223,10,14,12,10
Brevibacterium,7,12,4,6,11,2,3,1,38,6,2,1,8,4,1,0,0,14,0,52,14,10,10,9,1,21,0,3,3,2,6,3,2,3,0,0,0,1,0,1,1,0,13,2,0,4,2,1,9,4,6,6,1,0,1,3,9,16,0,2,5,13,3,1,6,0
Brevundimonas,58,52,30,45,20,48,5,10,76,27,27,22,33,3,34,13,33,71,1,100,26,74,29,103,1,96,16,12,68,36,39,16,55,110,2,0,1,2,1,0,6,59,158,32,224,30,55,59,18,37,69,36,32,0,42,38,20,172,74,15,32,71,42,9,2,1
